0,Nel mezzo del cammin di nostra vita,"mi ritrovai per una selva oscura,",chè la diritta via era smarrita.,11,11,11
1,Ahi quanto a dir qual era è cosa dura,esta selva selvaggia e aspra e forte,che nel pensier rinova la paura! ,11,11,11
,0,1,2,0_syllables,1_syllables,2_syllables
2,Tant'è amara che poco è più morte;,"ma per trattar del ben ch'i' vi trovai,",dirò de l'altre cose ch'i' v' ho scorte. ,11,11,11
3,"Io non so ben ridir com'i' v'intrai,",tant'era pien di sonno a quel punto,che la verace via abbandonai. ,11,11,11
4,"Ma poi ch'i' fui al piè d'un colle giunto,",là dove terminava quella valle,"che m'avea di paura il cor compunto, ",11,11,11
5,guardai in alto e vidi le sue spalle,vestite già de' raggi del pianeta,che mena dritto altrui per ogne calle. ,11,11,11
6,"Allor fu la paura un poco queta,",che nel lago del cor m'era durata,la notte ch'i' passai con tanta pieta. ,11,11,11
7,"E come quei che con lena affannata,","uscito fuor del pelago a la riva,","si volge a l'acqua perigliosa e guata, ",11,11,11
8,"così l'animo mio, ch'ancor fuggiva,",si volse a retro a rimirar lo passo,che non lasciò già mai persona viva. ,11,11,11
9,"Poi ch'èi posato un poco il corpo lasso,","ripresi via per la piaggia diserta,",sì che 'l piè fermo sempre era 'l più basso. ,11,11,11
10,"Ed ecco, quasi al cominciar de l'erta,","una lonza leggera e presta molto,",che di pel macolato era coverta; ,11,11,11
11,"e non mi si partia dinanzi al volto,","anzi 'mpediva tanto il mio cammino,",ch'i' fui per ritornar più volte vòlto. ,11,11,11
12,"Temp'era dal principio del mattino,",e 'l sol montava 'n sù con quelle stelle,ch'eran con lui quando l'amor divino ,11,11,11
13,mosse di prima quelle cose belle;,sì ch'a bene sperar m'era cagione,di quella fiera a la gaetta pelle ,11,11,11
14,l'ora del tempo e la dolce stagione;,ma non sì che paura non mi desse,la vista che m'apparve d'un leone. ,11,11,11
15,Questi parea che contra me venisse,"con la test'alta e con rabbiosa fame,",sì che parea che l'aere ne tremesse. ,11,11,11
16,"Ed una lupa, che di tutte brame","sembiava carca ne la sua magrezza,","e molte genti fè già viver grame, ",11,11,11
17,questa mi porse tanto di gravezza,"con la paura ch'uscia di sua vista,",ch'io perdei la speranza de l'altezza. ,11,11,11
18,"E qual è quei che volontieri acquista,","e giugne 'l tempo che perder lo face,",che 'n tutti suoi pensier piange e s'attrista; ,11,11,11
19,"tal mi fece la bestia sanza pace,","che, venendomi 'ncontro, a poco a poco",mi ripigneva là dove 'l sol tace. ,11,11,11
20,"Mentre ch'i' rovinava in basso loco,",dinanzi a li occhi mi si fu offerto,chi per lungo silenzio parea fioco. ,11,11,11
21,"Quando vidi costui nel gran diserto,","""Miserere di me"", gridai a lui,","""qual che tu sii, od ombra od omo certo!"". ",11,11,11
22,"Rispuosemi: ""Non omo, omo già fui,","e li parenti miei furon lombardi,",mantoani per patria ambedui. ,11,11,11
23,"Nacqui sub Iulio, ancor che fosse tardi,",e vissi a Roma sotto 'l buono Augusto,nel tempo de li dèi falsi e bugiardi. ,11,11,11
24,"Poeta fui, e cantai di quel giusto","figliuol d'Anchise che venne di Troia,",poi che 'l superbo Iliòn fu combusto. ,11,11,11
25,Ma tu perchè ritorni a tanta noia?,perchè non sali il dilettoso monte,"ch'è principio e cagion di tutta gioia?"". ",11,11,11
26,"""Or se' tu quel Virgilio e quella fonte","che spandi di parlar sì largo fiume?"",",rispuos'io lui con vergognosa fronte. ,11,11,11
27,"""O de li altri poeti onore e lume,",vagliami 'l lungo studio e 'l grande amore,che m' ha fatto cercar lo tuo volume. ,11,11,11
28,"Tu se' lo mio maestro e 'l mio autore,",tu se' solo colui da cu' io tolsi,lo bello stilo che m' ha fatto onore. ,11,11,11
29,Vedi la bestia per cu' io mi volsi;,"aiutami da lei, famoso saggio,","ch'ella mi fa tremar le vene e i polsi"". ",11,11,11
30,"""A te convien tenere altro viaggio"",","rispuose, poi che lagrimar mi vide,","""se vuo' campar d'esto loco selvaggio; ",11,11,11
31,"chè questa bestia, per la qual tu gride,","non lascia altrui passar per la sua via,",ma tanto lo 'mpedisce che l'uccide; ,11,11,11
32,"e ha natura sì malvagia e ria,","che mai non empie la bramosa voglia,",e dopo 'l pasto ha più fame che pria. ,11,11,11
33,"Molti son li animali a cui s'ammoglia,","e più saranno ancora, infin che 'l veltro","verrà, che la farà morir con doglia. ",11,11,11
34,"Questi non ciberà terra nè peltro,","ma sapienza, amore e virtute,",e sua nazion sarà tra feltro e feltro. ,11,11,11
35,Di quella umile Italia fia salute,"per cui morì la vergine Cammilla,",Eurialo e Turno e Niso di ferute. ,11,11,11
36,"Questi la caccerà per ogne villa,","fin che l'avrà rimessa ne lo 'nferno,",là onde 'nvidia prima dipartilla. ,11,11,11
37,Ond'io per lo tuo me' penso e discerno,"che tu mi segui, e io sarò tua guida,",e trarrotti di qui per loco etterno; ,11,11,11
38,"ove udirai le disperate strida,","vedrai li antichi spiriti dolenti,",ch'a la seconda morte ciascun grida; ,11,11,11
39,e vederai color che son contenti,"nel foco, perchè speran di venire",quando che sia a le beate genti. ,11,11,11
40,"A le quai poi se tu vorrai salire,",anima fia a ciò più di me degna:,con lei ti lascerò nel mio partire; ,11,11,11
41,"chè quello imperador che là sù regna,","perch'i' fu' ribellante a la sua legge,",non vuol che 'n sua città per me si vegna. ,11,11,11
42,In tutte parti impera e quivi regge;,quivi è la sua città e l'alto seggio:,"oh felice colui cu' ivi elegge!"". ",11,11,11
43,"E io a lui: ""Poeta, io ti richeggio","per quello Dio che tu non conoscesti,","acciò ch'io fugga questo male e peggio, ",11,11,11
44,"che tu mi meni là dov'or dicesti,",sì ch'io veggia la porta di san Pietro,"e color cui tu fai cotanto mesti"". ",11,11,11
45,"Allor si mosse, e io li tenni dietro.","Lo giorno se n'andava, e l'aere bruno",toglieva li animai che sono in terra,11,11,11
46,da le fatiche loro; e io sol uno,m'apparecchiava a sostener la guerra,"sì del cammino e sì de la pietate,",11,11,11
47,che ritrarrà la mente che non erra. ,"O muse, o alto ingegno, or m'aiutate;","o mente che scrivesti ciò ch'io vidi,",11,11,11
48,qui si parrà la tua nobilitate. ,"Io cominciai: ""Poeta che mi guidi,","guarda la mia virtù s'ell'è possente,",11,11,11
49,prima ch'a l'alto passo tu mi fidi. ,"Tu dici che di Silvio il parente,","corruttibile ancora, ad immortale",11,11,11
50,"secolo andò, e fu sensibilmente. ","Però, se l'avversario d'ogne male","cortese i fu, pensando l'alto effetto",11,11,11
51,"ch'uscir dovea di lui, e 'l chi e 'l quale ",non pare indegno ad omo d'intelletto;,ch'e' fu de l'alma Roma e di suo impero,11,11,11
52,ne l'empireo ciel per padre eletto: ,"la quale e 'l quale, a voler dir lo vero,",fu stabilita per lo loco santo,11,11,11
53,u' siede il successor del maggior Piero. ,"Per quest'andata onde li dai tu vanto,",intese cose che furon cagione,11,11,11
54,di sua vittoria e del papale ammanto. ,"Andovvi poi lo Vas d'elezione,",per recarne conforto a quella fede,11,11,11
55,ch'è principio a la via di salvazione. ,"Ma io, perchè venirvi? o chi 'l concede?","Io non Enèa, io non Paulo sono;",11,11,11
